,gps_height,longitude,latitude,wpt_name,basin,region,district_code,population,public_meeting,scheme_management,permit,extraction_type,management,payment_type,water_quality,quantity,source,waterpoint_type,target,age
37475,288,36.87909381,-7.90425741,Kwamakonyola,Rufiji,Morogoro,3,300,True,Water Board,True,gravity,vwc,monthly,soft,insufficient,river,communal standpipe,2,24
37476,663,37.91678396,-4.51002407,Kwa Togolani,Pangani,Kilimanjaro,3,75,True,Water authority,True,gravity,vwc,monthly,soft,insufficient,spring,communal standpipe,0,15
37479,1956,34.5589312,-9.19935551,Kwa Wachawaseme Serongo,Rufiji,Iringa,4,130,True,WUA,True,gravity,wua,annually,soft,enough,river,communal standpipe multiple,0,27
37482,478,38.0817544,-4.50388525,Kwa Omari,Pangani,Kilimanjaro,3,120,True,Water authority,True,gravity,vwc,never pay,soft,insufficient,spring,communal standpipe multiple,2,59
37486,1269,37.36305678,-3.26358388,Kwa Senya Silayo,Pangani,Kilimanjaro,4,30,True,VWC,True,gravity,vwc,never pay,soft,enough,spring,communal standpipe,0,20
37492,879,37.05015476,-3.50532678,Kwa Lesara,Pangani,Manyara,4,200,True,VWC,True,submersible,vwc,per bucket,soft,enough,machine dbh,communal standpipe,0,16
37494,1716,36.65959494,-3.16084464,Ngibilati,Internal,Arusha,2,150,True,VWC,True,gravity,vwc,never pay,soft,enough,spring,communal standpipe,1,20
37496,1372,34.40085399,-4.76930505,Mwanduigembe,Internal,Singida,1,802,True,Parastatal,True,gravity,parastatal,never pay,soft,seasonal,rainwater harvesting,communal standpipe,1,23
37497,32,38.84126138,-6.58665692,Kwa Aina,Wami / Ruvu,Pwani,1,21,False,Private operator,True,mono,private operator,per bucket,soft,enough,river,communal standpipe,0,32
37498,278,38.41278653,-6.11895143,Dr Limbe,Wami / Ruvu,Pwani,1,8,False,WUA,True,ksb,private operator,per bucket,soft,enough,river,communal standpipe,0,10
37501,1148,37.25265612,-3.26883416,Kwa Ernest Karist Liti,Pangani,Kilimanjaro,5,50,True,Water Board,True,gravity,water board,per bucket,soft,enough,spring,communal standpipe,2,21
37504,299,38.54136381,-5.04391418,Bomba La Kwa Duri,Pangani,Tanga,2,300,True,VWC,False,afridev,vwc,monthly,soft,enough,shallow well,hand pump,0,12
37505,1432,35.84413528,-7.72005241,none,Rufiji,Iringa,7,450,True,VWC,True,gravity,vwc,annually,soft,enough,river,communal standpipe,0,36
37508,1655,36.6248627,-3.25477484,Kwa Miriam,Pangani,Arusha,2,150,True,VWC,True,gravity,vwc,never pay,soft,insufficient,spring,communal standpipe,2,40
37509,2143,34.65732551,-9.66720324,none,Lake Nyasa,Iringa,5,53,True,VWC,False,gravity,vwc,monthly,soft,dry,spring,communal standpipe,2,17
37513,182,38.78797302,-5.19433999,Kwasago,Pangani,Tanga,3,700,True,VWC,False,afridev,vwc,per bucket,salty,insufficient,shallow well,hand pump,0,37
37514,1291,34.83076777,-5.72730192,Kwa Yoram,Internal,Singida,3,800,True,VWC,False,submersible,vwc,per bucket,soft,enough,machine dbh,communal standpipe multiple,0,18
37516,1170,36.72109946,-3.46943405,Kwa Leshutu,Pangani,Arusha,2,200,True,VWC,True,gravity,vwc,never pay,soft,insufficient,spring,communal standpipe,0,20
37524,1614,34.54662346,-9.0099869,Kwa Semgobasa,Rufiji,Iringa,4,75,True,WUA,True,gravity,wua,monthly,soft,enough,river,communal standpipe,0,42
37525,1194,30.21135695,-4.55917974,Kwa Mhetu,Lake Tanganyika,Kigoma,2,320,True,Water authority,True,gravity,water board,monthly,soft,enough,river,communal standpipe multiple,2,35
37527,617,37.47640122,-4.39549684,Zahanati,Pangani,Manyara,4,250,True,VWC,True,gravity,vwc,never pay,soft,insufficient,river,communal standpipe,2,20
37528,1186,37.4815958,-3.33920678,Kwa Marry Matemu,Pangani,Kilimanjaro,4,20,True,Water Board,True,gravity,water board,per bucket,soft,enough,spring,communal standpipe,1,12
37530,520,38.06626616,-4.26912466,Kwa Katamba,Pangani,Kilimanjaro,3,200,True,Water authority,True,gravity,vwc,annually,soft,enough,river,communal standpipe,2,8
37534,1550,32.04299764,-8.56894882,Kwa Lioba,Lake Rukwa,Rukwa,2,150,True,VWC,True,gravity,vwc,never pay,soft,enough,river,communal standpipe,2,27
37538,1552,34.88120928,-4.26640665,Msengesi,Internal,Singida,1,385,True,VWC,True,afridev,vwc,never pay,soft,enough,machine dbh,hand pump,0,22
37541,1224,35.70134796,-2.29661458,Kirashi,Internal,Arusha,5,260,True,VWC,True,gravity,vwc,never pay,soft,insufficient,spring,communal standpipe multiple,0,12
37546,1045,36.66686399,-3.60359184,Shule Ya Msingi,Pangani,Arusha,2,150,True,VWC,True,gravity,vwc,per bucket,soft,enough,spring,communal standpipe,0,20
37550,2,40.20174985,-10.35549747,Kwa Mzee Mzungu,Ruvuma / Southern Coast,Mtwara,5,444,True,VWC,False,nira/tanira,vwc,monthly,soft,enough,shallow well,hand pump,0,9
37551,972,29.64096292,-4.76693882,Kwa Agula John,Lake Tanganyika,Kigoma,3,168,True,VWC,True,gravity,vwc,monthly,soft,enough,spring,communal standpipe,0,36
37554,1681,34.48369099,-9.72048431,none,Lake Nyasa,Iringa,5,75,True,VWC,False,gravity,vwc,on failure,soft,enough,spring,communal standpipe,0,9
37566,1676,34.53122991,-9.13540425,Kwa Julius Mwenga,Rufiji,Iringa,4,52,True,WUA,True,gravity,wua,annually,soft,enough,river,communal standpipe,0,11
37567,1558,34.74322735,-4.30498796,Shuleni Kilyungu,Internal,Singida,1,286,True,Parastatal,True,mono,parastatal,never pay,soft,enough,machine dbh,communal standpipe multiple,0,14
37569,2124,36.65707132,-3.22143573,Kandaskilieti,Internal,Arusha,2,150,True,VWC,True,gravity,vwc,on failure,soft,insufficient,spring,communal standpipe,2,30
37575,273,36.9621081,-7.68339578,Mfaeka,Rufiji,Morogoro,3,50,True,Company,True,gravity,vwc,monthly,soft,insufficient,river,communal standpipe,1,25
37576,1785,35.55386455,-3.73654749,Dispensary,Internal,Manyara,3,90,False,Parastatal,True,submersible,parastatal,never pay,soft,enough,machine dbh,communal standpipe multiple,0,12
37577,683,39.19363098,-10.8199437,Kwa Mzee Chiteng'U,Ruvuma / Southern Coast,Mtwara,33,700,True,VWC,False,gravity,vwc,per bucket,soft,enough,spring,communal standpipe multiple,2,43
37578,2136,35.45428609,-4.00937512,Kwa Barie,Internal,Manyara,3,162,True,VWC,True,gravity,vwc,never pay,soft,enough,spring,improved spring,2,25
37580,1555,34.60934156,-9.00910648,Kwa Parnack Tembana,Rufiji,Iringa,4,45,True,WUA,True,gravity,wua,monthly,soft,insufficient,river,communal standpipe,0,42
37581,1523,35.66872578,-3.33531711,Standi,Internal,Arusha,30,2000,True,VWC,True,gravity,vwc,per bucket,soft,enough,river,communal standpipe,0,8
37582,479,39.33171242,-10.6686472,Kwa Mzee Kuvyaka,Ruvuma / Southern Coast,Mtwara,33,300,True,VWC,False,submersible,vwc,per bucket,soft,insufficient,machine dbh,communal standpipe,0,32
37583,299,38.29978474,-6.12548235,Manjonjo,Wami / Ruvu,Pwani,1,40,True,WUA,True,ksb,wua,per bucket,soft,enough,river,communal standpipe,2,17
37584,1210,30.33298925,-4.31198472,Kwa Finiasi,Lake Tanganyika,Kigoma,2,200,True,Water authority,True,gravity,vwc,monthly,soft,enough,spring,communal standpipe,1,17
37586,1334,37.20490989,-4.46089382,Kwa Kasimu,Pangani,Manyara,4,200,True,Water authority,True,submersible,water authority,per bucket,soft,enough,machine dbh,communal standpipe multiple,0,8
37587,775,29.79138314,-5.32506897,Kwa Nestor Anzuruni,Lake Tanganyika,Kigoma,3,125,False,VWC,True,gravity,vwc,monthly,soft,insufficient,spring,communal standpipe,1,14
37588,1033,35.07766024,-10.79863499,Kwa Mzee Mapunda,Ruvuma / Southern Coast,Ruvuma,3,60,True,VWC,True,gravity,vwc,never pay,soft,enough,spring,communal standpipe,2,8
37591,1108,31.07304254,-6.3778938,Shuleni,Lake Rukwa,Rukwa,1,1000,True,VWC,True,swn 80,vwc,monthly,soft,insufficient,machine dbh,hand pump,0,33
37596,20,38.84931789,-6.57919191,Zahanati,Wami / Ruvu,Pwani,1,30,True,Parastatal,True,mono,parastatal,never pay,soft,enough,river,communal standpipe,0,12
37597,269,36.29436903,-8.13795842,School,Rufiji,Morogoro,3,1300,True,VWC,True,other - rope pump,vwc,never pay,soft,enough,shallow well,hand pump,0,10
37599,1279,34.82779861,-5.74468378,Hospitali Manyoni,Internal,Singida,3,600,True,Other,False,submersible,vwc,per bucket,soft,insufficient,machine dbh,communal standpipe,0,18
37601,328,37.60580302,-6.17189913,Kwa Mzee Mapunda,Wami / Ruvu,Morogoro,6,190,True,VWC,True,swn 80,vwc,never pay,soft,enough,shallow well,hand pump,0,46
37603,378,37.63742223,-6.11941735,Sekondari,Wami / Ruvu,Morogoro,6,800,True,VWC,True,swn 80,vwc,never pay,soft,insufficient,shallow well,hand pump,0,12
37609,456,37.08083456,-6.79613877,Kalumbalelo,Wami / Ruvu,Morogoro,1,130,True,VWC,True,india mark ii,vwc,on failure,salty,enough,shallow well,communal standpipe,0,10
37610,1325,37.2750543,-3.2392769,Kwa John Malya,Pangani,Kilimanjaro,4,20,True,Water Board,True,gravity,water board,per bucket,soft,enough,river,communal standpipe,0,13
37611,8,39.13339912,-4.99949322,Msikitini,Pangani,Tanga,4,90,True,VWC,True,nira/tanira,vwc,never pay,soft,enough,shallow well,hand pump,0,20
37613,1027,29.93282865,-4.80549858,Kwa Luhaza,Lake Tanganyika,Kigoma,2,390,True,Water authority,True,gravity,vwc,annually,soft,enough,river,communal standpipe multiple,1,36
37615,1022,36.9653433,-3.38768585,Sindeti,Pangani,Arusha,7,50,True,Water Board,True,gravity,water board,per bucket,soft,insufficient,river,communal standpipe,0,9
37618,1335,35.28029247,-9.83137783,Kwa Faustini,Lake Nyasa,Ruvuma,2,250,True,VWC,True,gravity,vwc,on failure,soft,dry,river,communal standpipe,2,26
37619,558,38.18263412,-4.9459584,Nyumbabora,Pangani,Tanga,2,400,True,VWC,False,gravity,vwc,never pay,soft,insufficient,spring,communal standpipe,0,26
37621,1276,34.96663053,-5.51521886,Kwa Athumani Shaaban,Internal,Singida,3,100,True,VWC,False,mono,vwc,never pay,salty,enough,machine dbh,communal standpipe multiple,2,42
37627,999,35.70107085,-3.75112019,Kwa Yende,Internal,Manyara,1,185,True,VWC,True,gravity,vwc,never pay,soft,enough,river,communal standpipe,0,9
37628,1766,34.52162388,-9.15283154,Kwa Huruma Muhangule,Rufiji,Iringa,4,75,True,WUA,True,gravity,wua,monthly,soft,enough,river,communal standpipe,0,27
37630,1449,34.37451603,-4.41158568,Manasi,Internal,Singida,1,487,True,WUA,True,submersible,wua,per bucket,soft,insufficient,machine dbh,communal standpipe multiple,1,14
37631,1420,34.61603914,-9.97079957,none,Lake Nyasa,Iringa,5,53,False,Private operator,False,gravity,private operator,never pay,soft,enough,spring,communal standpipe,0,36
37638,1277,30.55786097,-3.63489677,Bugoye,Lake Tanganyika,Kigoma,1,400,True,VWC,False,gravity,vwc,annually,soft,enough,spring,communal standpipe multiple,2,30
37639,1502,34.75505621,-4.49187548,Jumbe,Internal,Singida,1,455,True,VWC,True,nira/tanira,vwc,on failure,salty,insufficient,shallow well,hand pump,0,25
37641,1484,35.72537632,-3.36083785,Tuwei Bariw,Internal,Arusha,30,50,True,VWC,True,gravity,vwc,per bucket,soft,enough,river,communal standpipe,0,26
37647,1401,34.38213816,-4.64975417,Muungano,Internal,Singida,1,270,True,VWC,True,afridev,vwc,annually,soft,enough,machine dbh,hand pump,0,25
37648,370,36.5145166,-8.54910639,Kwa Chapanga,Rufiji,Morogoro,4,290,True,VWC,True,swn 80,vwc,monthly,soft,enough,shallow well,hand pump,0,17
37649,35,38.89668332,-8.81286023,Kwanjelamoto,Ruvuma / Southern Coast,Lindi,13,358,True,VWC,True,nira/tanira,vwc,never pay,salty,enough,shallow well,hand pump,2,31
37650,294,38.51652843,-5.59113871,Kwa Mazunuko,Pangani,Tanga,6,2000,True,VWC,False,afridev,vwc,never pay,salty,enough,shallow well,hand pump,0,16
37654,1713,31.57693025,-8.418469300000002,Kwa Mzee Mwisua,Lake Tanganyika,Rukwa,2,200,True,VWC,False,nira/tanira,vwc,never pay,soft,enough,shallow well,hand pump,2,28
37655,253,36.69433013,-8.10880815,Kwaluhendeku,Rufiji,Morogoro,3,200,True,VWC,True,swn 80,vwc,on failure,milky,insufficient,shallow well,hand pump,0,12
37662,1202,30.21281896,-4.55932409,Msikitini,Lake Tanganyika,Kigoma,2,540,True,Water authority,True,gravity,water board,monthly,soft,enough,river,communal standpipe multiple,2,32
37663,1737,35.10647201,-4.1446924,Maghang Secondary School,Internal,Manyara,3,940,True,Parastatal,True,mono,parastatal,annually,soft,enough,machine dbh,communal standpipe,0,14
37670,1860,34.77557131,-9.1400108,Kwa Efeso Mkongwa,Rufiji,Iringa,4,135,True,WUA,True,gravity,wua,monthly,soft,enough,spring,communal standpipe,0,11
37673,1302,35.14066245,-3.95987119,Yaeda Chini Primary School,Internal,Manyara,3,393,True,VWC,True,other - swn 81,vwc,never pay,soft,enough,machine dbh,hand pump,2,27
37677,1925,36.65371611,-3.24910167,Kwa Letayo,Pangani,Arusha,2,150,True,VWC,True,gravity,vwc,on failure,soft,enough,spring,communal standpipe,0,30
37679,290,36.53273722,-8.09275976,Kwamkonongo,Rufiji,Morogoro,3,300,True,VWC,True,other - rope pump,vwc,monthly,soft,insufficient,shallow well,hand pump,0,22
37681,1162,38.37794473,-5.01413666,Mangika,Pangani,Tanga,2,400,True,VWC,False,gravity,vwc,never pay,soft,dry,spring,communal standpipe,2,48
37685,1646,37.28188907,-3.190391,Kwa Batromeo Massawe,Pangani,Kilimanjaro,4,10,True,Water Board,True,gravity,water board,per bucket,soft,enough,river,communal standpipe,0,13
37688,106,38.85723891,-6.78541513,Mwl Mpate,Wami / Ruvu,Pwani,2,10,True,Parastatal,True,mono,private operator,monthly,soft,insufficient,river,communal standpipe,2,10
37691,1791,35.54126336,-8.1184253,none,Rufiji,Iringa,1,360,True,VWC,True,swn 80,vwc,never pay,soft,enough,machine dbh,hand pump,0,12
37693,149,38.86263183,-5.11575473,Kwajoseph,Pangani,Tanga,3,120,True,VWC,False,gravity,vwc,never pay,soft,seasonal,spring,communal standpipe,2,21
37696,1442,35.30113055,-4.63537849,Marmo,Internal,Manyara,2,521,True,VWC,True,submersible,vwc,per bucket,salty,dry,spring,communal standpipe,2,15
37699,1166,34.04351297,-1.10576942,Kateng'O,Lake Victoria,Mara,6,350,True,VWC,False,submersible,vwc,per bucket,soft,enough,lake,communal standpipe multiple,2,48
37700,220,38.58659787,-6.37134006,Msikitini,Wami / Ruvu,Pwani,1,2000,True,VWC,True,submersible,vwc,never pay,coloured,insufficient,dam,communal standpipe,2,46
37710,1358,30.29338837,-4.44907788,Rc,Lake Tanganyika,Kigoma,2,1200,True,Water authority,True,gravity,water board,never pay,soft,insufficient,river,communal standpipe,0,15
37714,31,39.02021121,-5.35079063,Kwa Ally Kizigo,Pangani,Tanga,5,200,True,Water authority,False,submersible,water authority,never pay,salty,insufficient,machine dbh,communal standpipe multiple,2,11
37717,1444,37.65095563,-3.67421137,Kwa Elia,Pangani,Kilimanjaro,2,20,True,VWC,False,gravity,vwc,monthly,soft,insufficient,spring,communal standpipe,0,13
37719,1580,34.41062897,-4.27425714,Bomba La Maji,Internal,Singida,1,350,True,Private operator,True,submersible,private operator,per bucket,soft,enough,machine dbh,communal standpipe multiple,0,12
37720,240,38.35619936,-6.37604644,Chigomba,Wami / Ruvu,Pwani,1,50,True,WUA,True,ksb,private operator,per bucket,soft,enough,river,communal standpipe,0,16
37726,1052,37.33156427,-3.29047356,Kwa Akulina Patrice,Pangani,Kilimanjaro,4,500,True,Water Board,True,gravity,water board,never pay,soft,insufficient,spring,communal standpipe,0,48
37727,826,29.73723188,-4.85403638,Kwa Kassim,Lake Tanganyika,Kigoma,3,230,True,WUG,True,gravity,vwc,monthly,soft,enough,river,communal standpipe multiple,1,11
37728,1727,35.00601012,-9.26338718,Kwa Aramu Kaduma,Rufiji,Iringa,4,50,True,WUA,True,other - rope pump,wua,on failure,soft,enough,hand dtw,hand pump,0,11
37733,1715,31.53094308,-8.309077,Kituo Cha Afya Matai,Lake Tanganyika,Rukwa,2,300,True,VWC,False,nira/tanira,private operator,never pay,soft,enough,shallow well,hand pump,0,11
37734,938,37.252881,-3.34655017,Kwa Justine Kweka,Pangani,Kilimanjaro,5,75,True,Water Board,True,gravity,water board,per bucket,soft,enough,spring,communal standpipe,0,21
37735,529,39.32286629,-10.94263252,Songambele,Ruvuma / Southern Coast,Mtwara,33,430,True,VWC,False,gravity,vwc,per bucket,soft,insufficient,spring,communal standpipe multiple,0,10
37736,390,38.38735406,-10.93279657,Mnarani,Ruvuma / Southern Coast,Mtwara,63,33,True,VWC,True,india mark ii,vwc,never pay,soft,insufficient,machine dbh,hand pump,2,10
37739,382,38.568896,-10.37154283,Kisimani Jica,Ruvuma / Southern Coast,Lindi,3,350,True,VWC,True,submersible,vwc,per bucket,salty,insufficient,machine dbh,communal standpipe multiple,1,13
37743,941,36.84136848,-3.60593518,Zahanati,Pangani,Arusha,2,300,True,VWC,True,submersible,vwc,per bucket,soft,enough,machine dbh,communal standpipe,0,50
37748,2041,34.66249370000001,-9.33180212,Juru Mkinyekinye,Rufiji,Iringa,4,60,True,VWC,True,gravity,wua,monthly,soft,enough,spring,communal standpipe,0,12
37749,102,38.85214746,-5.55721628,Kwa Amr Rashidi,Pangani,Tanga,5,200,False,VWC,False,submersible,vwc,per bucket,soft,seasonal,river,communal standpipe,2,40
37751,42,39.30374633,-6.97799643,Kwa Jastin,Wami / Ruvu,Pwani,43,735,True,Private operator,False,submersible,private operator,never pay,soft,enough,machine dbh,communal standpipe,0,10
37754,317,38.80578119,-7.18827952,Uvuruge,Wami / Ruvu,Pwani,33,200,True,VWC,False,gravity,vwc,never pay,salty,seasonal,dam,communal standpipe,2,35
37756,1433,35.60277175,-7.79239888,none,Rufiji,Iringa,1,420,True,VWC,True,gravity,vwc,annually,soft,dry,spring,communal standpipe,2,36
37758,1637,34.52611695,-9.12120046,Kwa Joseph Kiswaga,Rufiji,Iringa,4,56,True,WUA,True,gravity,wua,annually,soft,enough,river,communal standpipe,0,48
37759,1720,34.99586948,-9.11489188,Kwa Patric Mogofelo,Rufiji,Iringa,4,60,True,VWC,False,gravity,vwc,monthly,soft,enough,spring,communal standpipe multiple,2,19
37760,354,37.6454543,-6.11023217,Mweluwala,Wami / Ruvu,Morogoro,6,90,True,VWC,True,submersible,vwc,monthly,soft,enough,machine dbh,communal standpipe,2,13
37763,1656,35.49837242,-4.41167329,Godown,Internal,Manyara,2,269,True,VWC,True,gravity,vwc,never pay,soft,insufficient,spring,communal standpipe,0,15
37767,21,38.93244216,-8.77819479,Kwakabono,Ruvuma / Southern Coast,Lindi,13,530,True,VWC,True,nira/tanira,vwc,never pay,soft,enough,shallow well,hand pump,1,27
37771,251,36.6989299,-8.13531781,Kwakitungutu,Rufiji,Morogoro,3,400,True,VWC,True,swn 80,vwc,on failure,soft,insufficient,shallow well,hand pump,0,38
37778,1107,31.23939998,-6.36838949,Kwa Matias Katengo,Lake Rukwa,Rukwa,1,60,True,VWC,True,gravity,vwc,annually,soft,enough,spring,communal standpipe,0,12
37781,1556,34.73192773,-9.85025343,none,Lake Nyasa,Iringa,5,35,True,VWC,False,gravity,vwc,on failure,soft,enough,spring,communal standpipe,1,15
37783,286,35.9476171,-8.51397986,Kwamtonya,Rufiji,Morogoro,3,250,True,VWC,True,gravity,vwc,never pay,soft,insufficient,river,communal standpipe,0,40
37784,820,37.52777363,-3.39807766,Eneo La Wazi,Pangani,Kilimanjaro,4,300,True,WUA,True,gravity,wua,per bucket,soft,insufficient,spring,communal standpipe,0,11
37786,1561,35.24816284,-7.9417895,none,Rufiji,Iringa,1,210,True,VWC,True,gravity,vwc,annually,soft,enough,spring,communal standpipe,0,12
37787,986,36.79486905,-3.567614,Kwa Kassim,Pangani,Arusha,2,1200,True,VWC,True,submersible,private operator,per bucket,soft,insufficient,machine dbh,communal standpipe,0,11
37793,508,39.36477254,-10.71267401,Kwa Nannyanga,Ruvuma / Southern Coast,Mtwara,33,300,True,VWC,False,submersible,vwc,never pay,soft,insufficient,machine dbh,communal standpipe multiple,2,22
37796,1004,29.73139139,-4.74096858,Kwa Zuberi Gakoti,Lake Tanganyika,Kigoma,3,180,True,VWC,True,gravity,wug,monthly,soft,enough,river,communal standpipe multiple,1,13
37798,1749,35.45035316,-8.10831006,none,Rufiji,Iringa,1,100,True,VWC,True,gravity,vwc,annually,soft,enough,spring,communal standpipe,0,16
37799,1225,37.37072981,-3.27587651,Kwa Mamtemba,Pangani,Kilimanjaro,4,20,True,VWC,True,gravity,vwc,never pay,soft,insufficient,spring,communal standpipe,0,42
37800,1108,31.2618464,-6.36425887,Kwa Severino Onesfory,Lake Rukwa,Rukwa,1,400,False,Water authority,True,gravity,water authority,never pay,soft,enough,hand dtw,communal standpipe,2,45
37804,1400,36.86037463,-3.14262156,Azaeli Mbise,Internal,Arusha,7,200,True,VWC,True,submersible,wug,annually,fluoride,enough,machine dbh,communal standpipe,0,8
37805,1345,37.20580338,-5.56317976,Shuleni,Wami / Ruvu,Manyara,5,300,True,VWC,True,gravity,vwc,never pay,soft,enough,spring,communal standpipe multiple,2,13
37807,1311,34.58560787,-8.77930929,Kwa Bosco Mlowe,Rufiji,Iringa,4,76,True,WUA,True,gravity,wua,monthly,soft,enough,river,communal standpipe,0,11
37812,1215,33.50023969,-2.12473296,Kwa Mahindi,Lake Victoria,Mara,4,230,True,VWC,True,gravity,vwc,per bucket,soft,enough,lake,communal standpipe,2,42
37815,203,38.35416432,-6.64616228,Matungula,Wami / Ruvu,Pwani,1,15,False,WUA,True,ksb,private operator,per bucket,soft,enough,river,communal standpipe,0,9
37817,1454,29.92457948,-4.44285994,Kwa Chakuza,Lake Tanganyika,Kigoma,2,470,True,Water authority,True,gravity,vwc,monthly,soft,insufficient,river,communal standpipe multiple,0,29
37819,691,37.29815898,-3.56642128,Shule Ya Msingi,Pangani,Manyara,4,300,True,VWC,True,gravity,vwc,monthly,soft,enough,spring,communal standpipe,0,43
37827,1470,35.58111034,-3.56802869,Kwa Michael,Internal,Arusha,30,100,True,VWC,True,gravity,vwc,per bucket,soft,seasonal,river,communal standpipe,0,26
37828,2231,34.43130821,-9.30100082,Kwa Benard Mgaya,Lake Nyasa,Iringa,4,100,True,VWC,True,gravity,vwc,on failure,soft,enough,spring,communal standpipe,0,23
37831,2030,34.69191218,-9.3341577,none,Rufiji,Iringa,4,29,True,VWC,True,gravity,vwc,monthly,soft,enough,river,communal standpipe,0,11
37834,1165,30.42176517,-4.27639761,Kwa Luhinda,Lake Tanganyika,Kigoma,2,1570,True,Water authority,False,nira/tanira,vwc,on failure,soft,enough,shallow well,hand pump,0,11
37835,1311,30.038393,-4.68037099,Kwa Herman,Lake Tanganyika,Kigoma,2,450,True,Water authority,True,gravity,water board,monthly,soft,enough,river,communal standpipe,2,18
37836,1085,34.22092153,-4.24423506,Msanga A,Internal,Singida,1,213,True,WUA,True,mono,wua,per bucket,soft,enough,machine dbh,communal standpipe multiple,0,8
37839,700,37.85099429,-4.32519732,Msikitini,Pangani,Kilimanjaro,3,80,True,Water authority,True,gravity,vwc,monthly,soft,insufficient,spring,communal standpipe,1,46
37840,1077,34.52672101,-4.03382525,Lugongo Primary Tank 2,Internal,Singida,1,485,True,Parastatal,True,gravity,parastatal,never pay,soft,seasonal,rainwater harvesting,communal standpipe,0,13
37847,1637,37.89649669,-4.24298908,Kwa Elitwaa,Pangani,Kilimanjaro,3,230,True,Water authority,True,gravity,water board,monthly,soft,insufficient,river,communal standpipe,0,16
37848,274,38.48806473,-11.15069656,Kwa Yassin Athumani,Ruvuma / Southern Coast,Mtwara,63,56,True,VWC,True,submersible,vwc,never pay,soft,dry,machine dbh,communal standpipe multiple,2,34
37849,2151,34.56065339,-9.32413255,Kwa Mgowere,Rufiji,Iringa,4,20,True,VWC,False,gravity,vwc,never pay,soft,enough,spring,communal standpipe,0,11
37852,1763,36.67835785,-3.15210273,Sekondari,Internal,Arusha,2,150,True,VWC,True,gravity,vwc,never pay,soft,insufficient,spring,communal standpipe,0,8
37853,1814,36.70097223,-3.14657351,Kwa Emmanuel,Internal,Arusha,2,150,True,VWC,True,gravity,vwc,never pay,soft,insufficient,spring,communal standpipe,0,23
37858,1027,35.3209063,-3.50196368,Kwa Gichiro,Internal,Arusha,30,800,True,VWC,True,gravity,vwc,per bucket,soft,enough,river,communal standpipe,0,8
37869,347,36.12812407,-8.30881234,Ofisini,Rufiji,Morogoro,3,30,True,Company,True,gravity,vwc,never pay,soft,enough,river,communal standpipe,0,10
37872,17,39.08189224,-5.22320077,Makongoro,Pangani,Tanga,4,200,True,VWC,True,nira/tanira,vwc,never pay,salty,enough,shallow well,hand pump,0,15
37875,1406,37.86692581,-4.21162218,Kwa Wazizi,Pangani,Kilimanjaro,3,234,True,Water authority,True,gravity,vwc,never pay,soft,enough,spring,communal standpipe,0,35
37878,1633,35.61462343,-7.91879215,none,Rufiji,Iringa,1,1400,False,VWC,True,swn 80,vwc,never pay,soft,enough,machine dbh,hand pump,0,10
37882,264,38.8145624,-10.91455445,Nandete,Ruvuma / Southern Coast,Mtwara,63,86,True,VWC,True,india mark ii,vwc,never pay,milky,seasonal,machine dbh,hand pump,2,42
37883,1736,35.0150427,-9.48325429,none,Rufiji,Iringa,4,30,True,VWC,False,submersible,vwc,never pay,soft,insufficient,spring,communal standpipe,2,14
37891,420,37.86696374,-6.79930645,Kwa Mashaka Jobwe,Wami / Ruvu,Morogoro,2,260,True,VWC,True,swn 80,vwc,never pay,salty abandoned,enough,shallow well,hand pump,0,11
37892,969,35.50310659,-10.76641798,Kwa Osward,Ruvuma / Southern Coast,Ruvuma,2,450,True,VWC,True,nira/tanira,vwc,monthly,soft,seasonal,shallow well,hand pump,0,25
37893,1446,34.71100635,-4.50827536,Mighunga,Internal,Singida,1,325,True,VWC,True,afridev,vwc,on failure,soft,enough,machine dbh,hand pump,2,16
37894,392,37.76479816,-7.10035039,Kwa Shaaban,Wami / Ruvu,Morogoro,2,100,True,VWC,True,gravity,vwc,monthly,soft,insufficient,river,communal standpipe,2,12
37895,116,38.86444077,-6.83049478,Kwa Mama Zaina,Wami / Ruvu,Pwani,2,20,True,Parastatal,True,gravity,parastatal,per bucket,soft,insufficient,river,communal standpipe,0,10
37900,334,37.92442418,-6.0153842000000015,Chapuku,Wami / Ruvu,Pwani,1,50,True,VWC,True,submersible,vwc,per bucket,salty,enough,machine dbh,communal standpipe,0,11
37904,1060,35.80209641,-10.45862521,Kwa Livinusnyoni,Lake Nyasa,Ruvuma,5,120,True,VWC,True,gravity,vwc,annually,soft,insufficient,river,communal standpipe,2,35
37910,383,39.37688435,-10.61544619,Sokoine,Ruvuma / Southern Coast,Mtwara,33,320,True,VWC,False,submersible,vwc,per bucket,soft,insufficient,machine dbh,communal standpipe multiple,1,11
37919,1284,35.85071608,-4.29424639,Kwa Yusuph,Internal,Manyara,1,120,True,Water Board,True,gravity,vwc,never pay,soft,insufficient,river,communal standpipe,2,11
37922,693,37.43092968,-3.54526404,Kwa Ndumi Laiza,Pangani,Kilimanjaro,4,85,True,Water Board,True,submersible,water board,per bucket,soft,enough,machine dbh,communal standpipe,0,12
37930,1048,36.66645749,-3.64213755,Shule Ya Msingi,Pangani,Manyara,4,200,True,VWC,True,submersible,vwc,per bucket,soft,enough,machine dbh,communal standpipe,0,14
